file,path,method,operationId,summary,tags
sales,/customer_contacts/{CustomerContactId}/customer_mobiles/{Id},GET,GetCustomerMobileForCustomerContact,Customer Mobile For Customer Contact,Customer Mobiles
sales,/customer_contacts/{CustomerContactId}/customer_mobiles/{Id},PUT,PutCustomerMobileForCustomerContact,Customer Mobile For Customer Contact,Customer Mobiles
sales,/customer_mobiles,GET,GetCustomerMobiles,Customer Mobiles,Customer Mobiles
sales,/customer_mobiles/{Id},DELETE,DeleteCustomerMobile,Customer Mobile,Customer Mobiles
sales,/customer_mobiles/{Id},GET,GetCustomerMobile,Customer Mobile,Customer Mobiles
sales,/customer_mobiles/{Id},PUT,PutCustomerMobile,Customer Mobile,Customer Mobiles
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_mobiles,GET,GetCustomerMobilesForCustomerAndCustomerContact,Customer Mobiles For Customer And Customer Contact,Customer Mobiles
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_mobiles,POST,PostCustomerMobileForCustomerAndCustomerContact,Customer Mobiles For Customer And Customer Contact,Customer Mobiles
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_mobiles/{Id},DELETE,DeleteCustomerMobileForCustomerAndCustomerContact,Customer Mobile For Customer And Customer Contact,Customer Mobiles
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_mobiles/{Id},GET,GetCustomerMobileForCustomerAndCustomerContact,Customer Mobile For Customer And Customer Contact,Customer Mobiles
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_mobiles/{Id},PUT,PutCustomerMobileForCustomerAndCustomerContact,Customer Mobile For Customer And Customer Contact,Customer Mobiles
sales,/customer_period_value_views,GET,GetCustomerPeriodValueViews,Customer Period Value Views,Customer Period Value Views
sales,/customer_price_bands,GET,GetCustomerPriceBands,Customer Price Bands,Customer Price Bands
sales,/customer_price_bands/{Id},GET,GetCustomerPriceBand,Customer Price Band,Customer Price Bands
sales,/customer_price_enquiry,POST,PostCustomerPriceEnquiry,Customer Price Enquiry,Customer Price Enquiry
sales,/customer_sop_invoice_credit_line_views,GET,GetCustomerSOPInvoiceCreditLineViews,Customer SOP Invoice Credit Line Views,Customer SOP Invoice Credit Line Views
sales,/customer_contacts/{CustomerContactId}/customer_telephones,GET,GetCustomerTelephonesForCustomerContact,Customer Telephones By Contact,Customer Telephones
sales,/customer_contacts/{CustomerContactId}/customer_telephones,POST,PostCustomerTelephoneForCustomerContact,Customer Telephones By Contact,Customer Telephones
sales,/customer_contacts/{CustomerContactId}/customer_telephones/{Id},DELETE,DeleteCustomerTelephoneForCustomerContact,Customer Telephone For Customer Contact,Customer Telephones
sales,/customer_contacts/{CustomerContactId}/customer_telephones/{Id},GET,GetCustomerTelephoneForCustomerContact,Customer Telephone For Customer Contact,Customer Telephones
sales,/customer_contacts/{CustomerContactId}/customer_telephones/{Id},PUT,PutCustomerTelephoneForCustomerContact,Customer Telephone For Customer Contact,Customer Telephones
sales,/customer_telephones,GET,GetCustomerTelephones,Customer Telephones,Customer Telephones
sales,/customer_telephones/{Id},DELETE,DeleteCustomerTelephone,Customer Telephone,Customer Telephones
sales,/customer_telephones/{Id},GET,GetCustomerTelephone,Customer Telephone,Customer Telephones
sales,/customer_telephones/{Id},PUT,PutCustomerTelephone,Customer Telephone,Customer Telephones
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_telephones,GET,GetCustomerTelephonesForCustomerAndCustomerContact,Customer Telephones For Customer And Customer Contact,Customer Telephones
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_telephones,POST,PostCustomerTelephoneForCustomerAndCustomerContact,Customer Telephones For Customer And Customer Contact,Customer Telephones
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_telephones/{Id},DELETE,DeleteCustomerTelephoneForCustomerAndCustomerContact,Customer Telephone For Customer And Customer Contact,Customer Telephones
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_telephones/{Id},GET,GetCustomerTelephoneForCustomerAndCustomerContact,Customer Telephone For Customer And Customer Contact,Customer Telephones
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_telephones/{Id},PUT,PutCustomerTelephoneForCustomerAndCustomerContact,Customer Telephone For Customer And Customer Contact,Customer Telephones
sales,/customer_views,GET,GetCustomerViews,Customer Views,Customer Views
sales,/customer_contacts/{CustomerContactId}/customer_websites,GET,GetCustomerWebsitesForCustomerContact,Customer Websites By Contact,Customer Websites
sales,/customer_contacts/{CustomerContactId}/customer_websites,POST,PostCustomerWebsiteForCustomerContact,Customer Websites By Contact,Customer Websites
sales,/customer_contacts/{CustomerContactId}/customer_websites/{Id},DELETE,DeleteCustomerWebsiteForCustomerContact,Customer Website For Customer Contact,Customer Websites
sales,/customer_contacts/{CustomerContactId}/customer_websites/{Id},GET,GetCustomerWebsiteForCustomerContact,Customer Website For Customer Contact,Customer Websites
sales,/customer_contacts/{CustomerContactId}/customer_websites/{Id},PUT,PutCustomerWebsiteForCustomerContact,Customer Website For Customer Contact,Customer Websites
sales,/customer_websites,GET,GetCustomerWebsites,Customer Websites,Customer Websites
sales,/customer_websites/{Id},DELETE,DeleteCustomerWebsite,Customer Website,Customer Websites
sales,/customer_websites/{Id},GET,GetCustomerWebsite,Customer Website,Customer Websites
sales,/customer_websites/{Id},PUT,PutCustomerWebsite,Customer Website,Customer Websites
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_websites,GET,GetCustomerWebsitesForCustomerAndCustomerContact,Customer Websites For Customer And Customer Contact,Customer Websites
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_websites,POST,PostCustomerWebsiteForCustomerAndCustomerContact,Customer Websites For Customer And Customer Contact,Customer Websites
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_websites/{Id},DELETE,DeleteCustomerWebsiteForCustomerAndCustomerContact,Customer Website For Customer And Customer Contact,Customer Websites
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_websites/{Id},GET,GetCustomerWebsiteForCustomerAndCustomerContact,Customer Website For Customer And Customer Contact,Customer Websites
sales,/customers/{customerId}/customer_contacts/{CustomerContactId}/customer_websites/{Id},PUT,PutCustomerWebsiteForCustomerAndCustomerContact,Customer Website For Customer And Customer Contact,Customer Websites
sales,/customer_year_value_views,GET,GetCustomerYearValueViews,Customer Year Value Views,Customer Year Value Views
sales,/customers,GET,GetCustomers,Customers,Customers
sales,/customers,POST,PostCustomer,Customers,Customers
sales,/customers/{Id},DELETE,DeleteCustomer,Customer,Customers
sales,/customers/{Id},GET,GetCustomer,Customer,Customers
sales,/customers/{Id},PUT,PutCustomer,Customer,Customers
sales,/customers_new,POST,PostCustomersNew,New Customer With Defaults,Customers
sales,/document_transmission_method_types,GET,GetDocumentTransmissionMethodTypes,Document Transmission Method Types,Document Transmission Method Types
sales,/finance_charges,GET,GetFinanceCharges,Finance Charges,Finance Charges
sales,/finance_charges/{Id},GET,GetFinanceCharge,Finance Charge,Finance Charges
sales,/finance_charges/{Id},PUT,PutFinanceCharge,Finance Charge,Finance Charges
sales,/head_office_types,GET,GetHeadOfficeTypes,Head Office Types,Head Office Types
sales,/lookup_customers,GET,GetLookupCustomers,Lookup Customers,Lookup Customers
sales,/sales_aged_debtor_detailed_views,GET,GetSalesAgedDebtorDetailedViews,Sales Aged Debtor Detailed Views,Sales Aged Debtor Detailed Views
sales,/sales_aged_debtor_summary_views,GET,GetSalesAgedDebtorSummaryViews,Sales Aged Debtor Summary Views,Sales Aged Debtor Summary Views
sales,/sales_aged_transaction_period_views,GET,GetAgedTransactionPeriodViews,View Of Sales Aged Transaction Periods,Sales Aged Transaction Period Views
sales,/sales_allocations,POST,PostSalesAllocation,Sales Allocations,Sales Allocations
sales,/sales_credit_notes,POST,PostSalesCreditNote,Sales Credit Notes,Sales Credit Notes
sales,/sales_credit_notes_new,POST,PostSalesCreditNotesNew,Sales Credit Notes New,Sales Credit Notes
sales,/customers/{customerId}/sales_historical_transactions,GET,GetSalesHistoricalTransactionsForCustomer,Sales Historical Transactions For Customer,Sales Historical Transactions
sales,/sales_historical_transactions,GET,GetSalesHistoricalTransactions,Sales Historical Transactions,Sales Historical Transactions
sales,/sales_historical_transactions/{Id},GET,GetSalesHistoricalTransaction,Sales Historical Transaction,Sales Historical Transactions
sales,/sales_invoices,POST,PostSalesInvoice,Sales Invoices,Sales Invoices
sales,/sales_invoices_new,POST,PostSalesInvoicesNew,Sales Invoices New,Sales Invoices
sales,/sales_ledger_settings,GET,GetSalesLedgerSettings,Sales Ledger Settings,Sales Ledger Settings
sales,/sales_ledger_settings/{Id},GET,GetSalesLedgerSetting,Sales Ledger Setting,Sales Ledger Settings
sales,/sales_ledger_settings/{Id},PUT,PutSalesLedgerSetting,Sales Ledger Setting,Sales Ledger Settings
sales,/sales_payments,POST,PostSalesPayment,Sales Payments,Sales Payments
sales,/sales_posted_transaction_memos,GET,GetSalesPostedTransactionMemos,Sales Posted Transaction Memos,Sales Posted Transaction Memos
sales,/sales_posted_transaction_memos,POST,PostSalesPostedTransactionMemo,Sales Posted Transaction Memos,Sales Posted Transaction Memos
sales,/sales_posted_transaction_memos/{Id},DELETE,DeleteSalesPostedTransactionMemo,Sales Posted Transaction Memo,Sales Posted Transaction Memos
sales,/sales_posted_transaction_memos/{Id},GET,GetSalesPostedTransactionMemo,Sales Posted Transaction Memo,Sales Posted Transaction Memos
sales,/sales_posted_transaction_memos/{Id},PUT,PutSalesPostedTransactionMemo,Sales Posted Transaction Memo,Sales Posted Transaction Memos
sales,/sales_posted_transactions/{transactionId}/sales_posted_transaction_memos,GET,GetMemosForSalesPostedTransaction,Sales Posted Transaction Memos For Sales Posted Transaction,Sales Posted Transaction Memos
sales,/customers/{customerId}/sales_posted_transactions,GET,GetSalesPostedTransactionsForCustomer,Sales Posted Transactions For Customer,Sales Posted Transactions
sales,/sales_posted_transactions,GET,GetSalesPostedTransactions,Sales Posted Transactions,Sales Posted Transactions
sales,/sales_posted_transactions/{Id},GET,GetSalesPostedTransaction,Sales Posted Transaction,Sales Posted Transactions
sales,/sales_posted_transactions/{Id},PUT,PutSalesPostedTransactions,Sales Posted Transaction,Sales Posted Transactions
sales,/sales_receipts,POST,PostSalesReceipt,Sales Receipts,Sales Receipts
sales,/sales_trading_periods,GET,GetSalesTradingPeriods,Sales Trading Periods,Sales Trading Periods
sales,/sales_trading_periods/{Id},GET,GetSalesTradingPeriod,Sales Trading Period,Sales Trading Periods
sales,/customers/{customerId}/sales_transaction_enquiry_views,GET,GetSalesTransactionsEnquiryViewsForCustomer,Sales Transaction Enquiry Views Transactions For Customer,Sales Transaction Enquiry Views
sales,/sales_transaction_enquiry_views,GET,GetSalesTransactionEnquiryViews,Sales Transaction Enquiry Views,Sales Transaction Enquiry Views
sales,/sales_transaction_enquiry_views/{Id},GET,GetSalesTransactionEnquiryView,Sales Transaction Enquiry View,Sales Transaction Enquiry Views
sales,/sales_transaction_views,GET,GetSalesTransactionViews,Sales Transaction Views,Sales Transaction Views
sales,/statement_ageing_terms,GET,GetStatementAgeingTerms,Statement Ageing Terms,Statement Ageing Terms
sales,/statement_layout_types,GET,GetStatementLayoutTypes,Statement Layout Types,Statement Layout Types
sales,/statement_terms,GET,GetStatementTerms,Statement Terms,Statement Terms
sop,/current_user_sop_user_permissions,GET,GetCurrentUserSOPUserPermission,Current User Invoice And Order User Permissions,Current User SOP User Permissions
sop,/lookup_sop_orders,GET,GetLookupSOPOrders,Lookup Sales Orders,Lookup SOP Orders
sop,/lookup_sop_quotes,GET,GetLookupSOPQuotes,Lookup Sales Quotes,Lookup SOP Quotes
sop,/lookup_sop_returns,GET,GetLookupSOPReturns,Lookup Sales Returns,Lookup SOP Returns
sop,/order_line_item_types,GET,GetOrderLineItemTypes,Order Line Item Types,Order Line Item Types
sop,/sop_additional_charges,GET,GetSOPAdditionalCharges,SOP Additional Charges,SOP Additional Charges
sop,/sop_additional_charges/{Id},GET,GetSOPAdditionalCharge,SOP Additional Charge,SOP Additional Charges
sop,/sop_allocation_line_views,GET,GetSOPAllocationLineViews,Sales Allocation Line Views,SOP Allocation Line Views
sop,/sop_back_to_back_status_types,GET,GetSOPBackToBackStatusTypes,SOP Back To Back Status Types,SOP Back To Back Status Types
sop,/sop_cancelled_lines,GET,GetSOPCancelledLines,Cancelled Lines For Sales Orders And Returns,SOP Cancelled Lines
sop,/sop_cancelled_lines/{Id},GET,GetSOPCancelledLine,Cancelled Line For Sales Orders And Returns,SOP Cancelled Lines
sop,/sop_confirm_despatch,GET,GetSOPConfirmDespatch,Sales Order Lines Available For Despatch,SOP Confirm Despatch
sop,/sop_confirm_despatch,POST,PostSOPConfirmDespatch,Sales Order Lines Available For Despatch,SOP Confirm Despatch
sop,/sop_confirm_despatch_bin_items,POST,PostSOPConfirmDespatchBinItems,Sales Order Bin Items Available For Despatch,SOP Confirm Despatch Bin Items
sop,/sop_confirm_despatch_traceable_items,POST,PostSOPConfirmDespatchTraceableItems,Sales Order Traceable Lines Available For Despatch,SOP Confirm Despatch Traceable Items
sop,/sop_confirmation_intent_types,GET,GetSOPConfirmationIntentTypes,Sales Order Confirmation Intent Types,SOP Confirmation Intent Types
sop,/sop_customer_types,GET,GetSOPCustomerTypes,SOP Customer Types,SOP Customer Types
sop,/sop_despatch_discrete_orders,GET,GetSOPDespatchDiscreteOrders,SOP Despatch Discrete Orders,SOP Despatch Discrete Orders
sop,/sop_despatch_receipts,GET,GetSOPDespatchReceipts,SOP Despatch Receipts,SOP Despatch Receipts
sop,/sop_despatch_receipts/{Id},GET,GetSOPDespatchReceipt,SOP Despatch Receipt,SOP Despatch Receipts
sop,/sop_despatch_receipts/{Id},PUT,PutSOPDespatchReceipt,SOP Despatch Receipt,SOP Despatch Receipts
sop,/sop_document_print_status_types,GET,GetSOPDocumentPrintStatusTypes,SOP Document Print Status Types,SOP Document Print Status Types
sop,/sop_document_process_status_types,GET,GetSOPDocumentProcessStatusTypes,SOP Document Process Status Types,SOP Document Process Status Types
sop,/sop_document_status_types,GET,GetSOPDocumentStatusTypes,SOP Document Status Types,SOP Document Status Types
sop,/sop_document_types,GET,GetSOPDocumentTypes,Sales Document Types,SOP Document Types
sop,/sop_export_reasons,GET,GetSOPExportReasons,SOP Reasons For Export,SOP Export Reasons
sop,/sop_export_reasons,POST,PostSOPExportReasons,SOP Reasons For Export,SOP Export Reasons
sop,/sop_export_reasons,PUT,PutSOPExportReasons,SOP Reasons For Export,SOP Export Reasons
sop,/sop_export_reasons/{Id},DELETE,DeleteSOPExportReason,SOP Reason For Export,SOP Export Reasons
sop,/sop_export_reasons/{Id},GET,GetSOPExportReason,SOP Reason For Export,SOP Export Reasons
sop,/sop_export_reasons/{Id},PUT,PutSOPExportReason,SOP Reason For Export,SOP Export Reasons
sop,/sop_incoterms,GET,GetSOPIncoterms,SOP Incoterms,SOP Incoterms
sop,/sop_incoterms,POST,PostSOPIncoterms,SOP Incoterms,SOP Incoterms
sop,/sop_incoterms,PUT,PutSOPIncoterms,SOP Incoterms,SOP Incoterms
sop,/sop_incoterms/{Id},DELETE,DeleteSOPIncoterm,SOP Incoterm,SOP Incoterms
sop,/sop_incoterms/{Id},GET,GetSOPIncoterm,SOP Incoterm,SOP Incoterms
sop,/sop_incoterms/{Id},PUT,PutSOPIncoterm,SOP Incoterm,SOP Incoterms
sop,/sop_intrastat_status_types,GET,GetSOPIntrastatStatusTypes,SOP Intrastat Status Types,SOP Intrastat Status Types
sop,/sop_invoice_credit_types,GET,GetSOPInvoiceCreditTypes,SOP Invoice Credit Types,SOP Invoice Credit Types
sop,/sop_order_despatch_line_views,GET,GetSOPOrderDespatchLineViews,SOP Despatch Line Views,SOP Order Despatch Line Views
sop,/sop_order_despatch_views,GET,GetSOPOrderDespatchViews,SOP Despatch Note Views,SOP Order Despatch Views
sop,/sop_order_entry_types,GET,GetSOPOrderEntryTypes,Sales Order Entry Types,SOP Order Entry Types
sop,/sop_order_line_traceable_items,POST,PostSOPOrderLineTraceableItems,Sales Order Line Traceable Items,SOP Order Line Traceable Items
sop,/sop_order_line_views,GET,GetSOPOrderLineViews,SOP Order Line Views,SOP Order Line Views
sop,/sop_order_lines/{Id},GET,GetSOPOrderline,Sales Order Line,SOP Order Lines
